Title,Type,Year,MyRating,Watched Date,Source,Genres,Runtime,Release Date,Popularity,Vote Average,Vote Count,Language
Frankenstein,Movie,2025,,2025-11-29,Netflix,"['Drama', 'Horror', 'Fantasy']",150.0,2025-10-17,192.548,7.774,1962,en
The Fire Within,Movie,1963,4.0,2025-11-28,Letterboxd,['Drama'],108.0,1963-10-15,3.8555,7.6,234,fr
Gaslight,Movie,1944,4.0,2025-11-27,Letterboxd,"['Thriller', 'Drama', 'Mystery', 'Crime']",114.0,1944-05-04,3.9664,7.504,528,en
The Conformist,Movie,1971,4.0,2025-11-27,Letterboxd,['Drama'],108.0,1971-01-29,7.402,7.6,730,it
The Graduate,Movie,1967,3.5,2025-11-26,Letterboxd,"['Drama', 'Romance', 'Comedy']",106.0,1967-12-21,7.817,7.6,3553,en
Nobody Wants This,TV,2024,,2025-11-01,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-11-01,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-11-01,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-11-01,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-11-01,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-11-01,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-11-01,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-11-01,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-11-01,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-10-28,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-10-28,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-10-28,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-10-28,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
Nobody Wants This,TV,2024,,2025-10-28,Netflix,"['Comedy', 'Drama']",,2024-09-26,8.7552,7.498,218,en
La Collectionneuse,Movie,1967,3.0,2025-10-08,Letterboxd,"['Drama', 'Romance']",86.0,1967-03-02,5.0,6.9,258,fr
Emilie Muller,Movie,1993,4.5,2025-10-07,Letterboxd,"['Comedy', 'Drama']",20.0,1993-10-29,0.2479,7.731,39,fr
The Apartment,Movie,1996,4.0,2025-10-05,Letterboxd,"['Mystery', 'Drama', 'Romance']",116.0,1996-07-27,3.5241,6.7,227,fr
The Sandman,TV,2022,,2025-10-03,Netflix,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']",,2022-08-05,16.966,7.895,2439,en
The Sandman,TV,2022,,2025-10-03,Netflix,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']",,2022-08-05,16.966,7.895,2439,en
The Sandman,TV,2022,,2025-10-02,Netflix,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']",,2022-08-05,16.966,7.895,2439,en
The Sandman,TV,2022,,2025-10-02,Netflix,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']",,2022-08-05,16.966,7.895,2439,en
The Sandman,TV,2022,,2025-10-02,Netflix,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']",,2022-08-05,16.966,7.895,2439,en
Billionaires' Bunker,TV,2025,,2025-09-27,Netflix,"['Sci-Fi & Fantasy', 'Drama', 'Mystery']",,2025-09-19,14.2572,6.45,100,es
Stoker,Movie,2013,3.0,2025-09-12,Letterboxd,"['Drama', 'Horror', 'Thriller']",99.0,2013-02-28,6.3564,6.635,2343,en
Il Sorpasso,Movie,1962,4.0,2025-09-10,Letterboxd,"['Drama', 'Comedy', 'Adventure']",105.0,1962-12-05,4.7227,8.2,812,it
Deceitful Love,TV,2020,,2025-09-09,Netflix,['Drama'],90.0,2020-10-05,0.8937,8.0,2,th
Deceitful Love,TV,2020,,2025-09-09,Netflix,['Drama'],90.0,2020-10-05,0.8937,8.0,2,th
Deceitful Love,TV,2020,,2025-09-08,Netflix,['Drama'],90.0,2020-10-05,0.8937,8.0,2,th
Lady Vengeance,Movie,2005,4.5,2025-09-08,Letterboxd,"['Drama', 'Thriller']",115.0,2005-07-29,3.6548,7.528,1792,ko
Deceitful Love,TV,2020,,2025-09-08,Netflix,['Drama'],90.0,2020-10-05,0.8937,8.0,2,th
Deceitful Love,TV,2020,,2025-09-07,Netflix,['Drama'],90.0,2020-10-05,0.8937,8.0,2,th
Two Graves,Movie,2018,,2025-09-06,Netflix,['Thriller'],80.0,2018-06-09,0.1977,4.1,10,en
Two Graves,Movie,2018,,2025-09-06,Netflix,['Thriller'],80.0,2018-06-09,0.1977,4.1,10,en
Deceitful Love,TV,2020,,2025-09-06,Netflix,['Drama'],90.0,2020-10-05,0.8937,8.0,2,th
Two Graves,Movie,2018,,2025-09-06,Netflix,['Thriller'],80.0,2018-06-09,0.1977,4.1,10,en
Cabaret,Movie,1972,3.5,2025-08-29,Letterboxd,"['Music', 'Drama', 'Romance']",124.0,1972-02-13,3.8942,7.4,933,en
"Bon Appétit, Your Majesty",TV,2025,,2025-08-26,Netflix,"['Drama', 'Sci-Fi & Fantasy']",80.0,2025-08-23,14.5368,8.9,161,ko
"Bon Appétit, Your Majesty",TV,2025,,2025-08-26,Netflix,"['Drama', 'Sci-Fi & Fantasy']",80.0,2025-08-23,14.5368,8.9,161,ko
Unspeakable Sins,TV,2025,,2025-08-10,Netflix,['Drama'],,2025-07-30,8.6355,7.359,46,es
Unspeakable Sins,TV,2025,,2025-08-10,Netflix,['Drama'],,2025-07-30,8.6355,7.359,46,es
Unspeakable Sins,TV,2025,,2025-08-10,Netflix,['Drama'],,2025-07-30,8.6355,7.359,46,es
Unspeakable Sins,TV,2025,,2025-08-09,Netflix,['Drama'],,2025-07-30,8.6355,7.359,46,es
Unspeakable Sins,TV,2025,,2025-08-09,Netflix,['Drama'],,2025-07-30,8.6355,7.359,46,es
Unspeakable Sins,TV,2025,,2025-08-09,Netflix,['Drama'],,2025-07-30,8.6355,7.359,46,es
