Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-02-04,Past Lives,2023,https://boxd.it/5L4rrz,3.5,,,2024-02-03
2024-02-07,The Holdovers,2023,https://boxd.it/5MtQ2N,4,,,2024-02-06
2024-02-11,Dogville,2003,https://boxd.it/5Ob6dR,4.5,,,2024-02-11
2024-03-11,Anatomy of a Fall,2023,https://boxd.it/61m5hH,4,,,2024-03-10
2024-03-11,Poor Things,2023,https://boxd.it/61ylxb,3,,,2024-03-10
2024-05-15,Love in the Afternoon,1972,https://boxd.it/6tI8Cp,4,,,2024-05-14
2025-01-13,The Substance,2024,https://boxd.it/8rXBUv,3,,,2025-01-12
2025-02-16,Wicked,2024,https://boxd.it/8QsgRX,4,,,2025-02-15
2025-02-16,A Real Pain,2024,https://boxd.it/8QF8tT,3,,,2025-02-16
2025-02-17,Conclave,2024,https://boxd.it/8R3ubP,4,,,2025-02-16
2025-02-18,Anora,2024,https://boxd.it/8S2yRH,3.5,,,2025-02-17
2025-02-20,Emilia Pérez,2024,https://boxd.it/8TfybV,3,,,2025-02-17
2025-02-20,The Brutalist,2024,https://boxd.it/8TAxwb,3.5,,,2025-02-20
2025-02-21,Companion,2025,https://boxd.it/8TNjVn,2.5,,,2025-02-20
2025-02-23,Heretic,2024,https://boxd.it/8UWvCp,3,,,2025-02-22
2025-02-24,Atonement,2007,https://boxd.it/8VRMGH,4,,,2025-02-23
2025-03-18,The Fall,2006,https://boxd.it/9a9T6N,3.5,,,2025-03-18
2025-03-28,La Chimera,2023,https://boxd.it/9ff6ft,3.5,,,2025-03-25
2025-03-29,I'm Still Here,2024,https://boxd.it/9fJHxJ,4,,,2025-03-28
2025-03-29,Repulsion,1965,https://boxd.it/9fOVwl,3.5,,,2025-03-28
2025-03-30,The Devils,1971,https://boxd.it/9gv7KD,4,,,2025-03-29
2025-04-01,A Short Film About Love,1988,https://boxd.it/9hBDMd,4,,,2025-03-31
2025-04-25,Y Tu Mamá También,2001,https://boxd.it/9vuyCf,4.5,,,2025-04-24
2025-04-25,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/9vIPCJ,3.5,,,2025-04-25
2025-04-27,My Night at Maud's,1969,https://boxd.it/9wKqf9,3.5,,,2025-04-26
2025-05-18,Rogue One: A Star Wars Story,2016,https://boxd.it/9IHXVT,4,Yes,,2025-05-17
2025-06-05,Challengers,2024,https://boxd.it/9UcZhH,4,,,2025-06-05
2025-06-05,The Ugly Stepsister,2025,https://boxd.it/9UrOqN,4,,,2025-06-05
2025-06-06,Triangle of Sadness,2022,https://boxd.it/9UAduV,3,,,2025-06-05
2025-06-06,Fat Girl,2001,https://boxd.it/9UFXtT,3,,,2025-06-05
2025-06-07,Nymphomaniac: Vol. I,2013,https://boxd.it/9Vbb0t,3.5,,,2025-06-06
2025-06-07,Nymphomaniac: Vol. II,2013,https://boxd.it/9VbsJ1,3,,,2025-06-06
2025-06-07,A Man and a Woman,1966,https://boxd.it/9Viq03,5,,,2025-06-07
2025-06-08,Hiroshima Mon Amour,1959,https://boxd.it/9VIFQP,2,,,2025-06-07
2025-06-08,Cha Cha Real Smooth,2022,https://boxd.it/9VSwrr,2,,,2025-06-08
2025-06-08,The Green Ray,1986,https://boxd.it/9W0Y05,4.5,,,2025-06-08
2025-06-09,Z,1969,https://boxd.it/9WtPjF,5,,,2025-06-08
2025-06-10,The Lovers on the Bridge,1991,https://boxd.it/9X6IQv,1.5,,,2025-06-09
2025-06-10,Secretary,2002,https://boxd.it/9XcVLv,3.5,,,2025-06-09
2025-06-10,La Jetée,1962,https://boxd.it/9Xeqql,4,,,2025-06-09
2025-06-10,Wings of Desire,1987,https://boxd.it/9XpiDN,4.5,,,2025-06-10
2025-06-11,Crossing,2024,https://boxd.it/9XWTdN,4,,,2025-06-11
2025-06-12,Lola,1961,https://boxd.it/9YuQEf,3,,,2025-06-12
2025-06-13,Little Fish,2020,https://boxd.it/9YLXV7,3.5,,,2025-06-12
2025-06-13,Rosemary's Baby,1968,https://boxd.it/9YTImd,4.5,,,2025-06-12
2025-06-19,Final Destination Bloodlines,2025,https://boxd.it/a2Wucb,3,,,2025-06-19
2025-06-21,Moonrise Kingdom,2012,https://boxd.it/a4i5Iz,3.5,,,2025-06-21
2025-06-25,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://boxd.it/a72RVh,4,,,2025-06-25
2025-06-26,A Girl Walks Home Alone at Night,2014,https://boxd.it/a7uJv7,3,,,2025-06-25
2025-06-26,The Vanishing,1988,https://boxd.it/a7I321,4,,,2025-06-26
2025-06-26,Funny Games,1997,https://boxd.it/a7NYCl,2.5,,,2025-06-26
2025-06-27,Lilya 4-ever,2002,https://boxd.it/a8a9m3,4,,,2025-06-26
2025-06-27,The Night Porter,1974,https://boxd.it/a8giwD,4,,,2025-06-27
2025-06-30,Suspiria,1977,https://boxd.it/aax1Ip,4,,,2025-06-30
2025-07-17,The Little Mermaid,2023,https://boxd.it/amgMaX,3,,,2025-07-16
2025-08-08,Betty Blue,1986,https://boxd.it/aDZUXh,4,,,2025-08-07
2025-08-09,Eyes Without a Face,1960,https://boxd.it/aEGSuD,4,,,2025-08-08
2025-08-30,Cabaret,1972,https://boxd.it/aU1rnH,3.5,,,2025-08-29
2025-09-08,Lady Vengeance,2005,https://boxd.it/b0vjBb,4.5,,,2025-09-08
2025-09-10,Il Sorpasso,1962,https://boxd.it/b1AvDH,4,,,2025-09-10
2025-09-12,Stoker,2013,https://boxd.it/b2J0dZ,3,,,2025-09-12
2025-10-06,The Apartment,1996,https://boxd.it/bgYAIP,4,,,2025-10-05
2025-10-08,Emilie Muller,1993,https://boxd.it/bioLJP,4.5,,,2025-10-07
2025-10-09,La Collectionneuse,1967,https://boxd.it/biUhsD,3,,,2025-10-08
2025-11-27,The Graduate,1967,https://boxd.it/bQHjeX,3.5,,,2025-11-26
2025-11-27,The Conformist,1970,https://boxd.it/bQPGiJ,4,,,2025-11-27
2025-11-28,Gaslight,1944,https://boxd.it/bRimvL,4,,,2025-11-27
2025-11-29,The Fire Within,1963,https://boxd.it/bRUAjP,4,,,2025-11-28
2025-12-02,A Woman Under the Influence,1974,https://boxd.it/bUaF4l,4,,,2025-12-01
2025-12-03,Sinners,2025,https://boxd.it/bUJeXj,4,,,2025-12-02
2025-12-03,Love at Sea,1965,https://boxd.it/bV6453,4,,,2025-12-03
2025-12-06,The Bakery Girl of Monceau,1963,https://boxd.it/bWX7kF,4,,,2025-12-06
2025-12-09,"Sorry, Baby",2025,https://boxd.it/bYT3k7,4,,,2025-12-08
2025-12-10,Train Dreams,2025,https://boxd.it/bZCfix,3.5,,,2025-12-09
2025-12-14,Wake Up Dead Man,2025,https://boxd.it/c21KBN,3.5,,,2025-12-13
2025-12-14,Sentimental Value,2025,https://boxd.it/c2encB,4,,,2025-12-14
2025-12-16,Bugonia,2025,https://boxd.it/c49Hrp,3,,,2025-12-15
2025-12-18,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/c5QkO1,2.5,,,2025-12-17
2025-12-21,The Mastermind,2025,https://boxd.it/c8MQfL,3.5,,,2025-12-20
2025-12-22,Ritual,2000,https://boxd.it/c9mAsh,4.5,,,2025-12-21
